gene_id	ID	log2FC	AveExpr	t_stat	P.Value	adj.P.Val	B_stat
4228	NGDN	0.23867417443219896	4.254995388930922	4.628226051170454	2.925929248303469e-4	4.564439278324326e-4	-2.258752915317787
13432	FAM20B	-0.17692703845462443	4.359873726588018	-4.627913266916396	2.9277909760376736e-4	4.5669397346822843e-4	-2.259404091258304
15739	USP24	-0.2515241610322603	4.212237728233491	-4.625056216505422	2.944852706348803e-4	4.593147506445547e-4	-2.265352410677429
9375	ST3GAL2	-0.33001947276948673	2.9555642624130076	-4.624418914349944	2.948672412878722e-4	4.598698612801133e-4	-2.2666793375477843
7953	CIITA	0.0970784680404799	0.06668132305452457	4.623875167070706	2.951935403003585e-4	4.6030638010931057e-4	-2.267811495991814
14952	SURF1	-0.2791603057179568	5.35904372132251	-4.62386554306302	2.9519931892964176e-4	4.6030638010931057e-4	-2.2678315347156754
15	PMM2	0.18638181711690294	4.220497286881906	4.623781308453639	2.9524990161512233e-4	4.6034456600035244e-4	-2.268006924923089
10158	BSCL2	-0.1324715518448567	5.757557052155842	-4.623110234169764	2.9565319723244305e-4	4.609326356994309e-4	-2.2694042286264455
8739	PIK3R1	0.1936459205633061	1.5169632068446526	4.622901586136844	2.9577870337678874e-4	4.6108755721245093e-4	-2.2698386796648267
10905	SH2D7	-0.16841659556638894	0.10248285175145529	-4.622134857244552	2.96240375496212e-4	4.617664520678717e-4	-2.271435203435722
13360	TP53I13	0.521694688661456	5.269880338802548	4.622020142210834	2.9630951252652494e-4	4.6183341461197565e-4	-2.2716740726794287
5324	DEDD2	0.5268651920958822	3.768937232749186	4.621856822808692	2.9640797118218664e-4	4.6194606250849266e-4	-2.272014151571395
14236	OGFOD3	0.5304411926446031	3.1127808088635467	4.621051509999585	2.9689395166114106e-4	4.626625823872317e-4	-2.273691075881363
15956	PHF11	-0.35737798025129436	0.5154805511481908	-4.619321580143282	2.979406690852283e-4	4.6424455389893594e-4	-2.2772935057986086
