gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
PPP2R5D	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.17589194374325853	0.022076003951936832	7.967562613514875	1.618344696804712e-15	0.13262377107489845	0.21916011641161862	0	0.8358016576270023	0.6584275222257444	0	0.17589194374325853	0.022076003951936832	7.967562613514875	1.618344696804712e-15	NA	NA	NA	NA	1.1027863148226394e-13	UP	1.618344696804712e-15	3	3	0	1
GPSM3	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.6401514915641651	0.08036997555389505	7.965057686684101	1.6514671763960755e-15	0.4826292340401662	0.7976737490881639	0	0.793570594864205	0.67247839297191	0	0.6401514915641651	0.08036997555389505	7.965057686684101	1.6514671763960755e-15	NA	NA	NA	NA	1.1201947310719617e-13	UP	1.6514671763960755e-15	3	3	0	1
SURF2	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.5926163537094566	0.07447233654202079	7.957536734127775	1.754980281851136e-15	0.4466532562425497	0.7385794511763636	0.0046369404190340965	2.7012973299006235	0.25907215510308207	26.97666123374687	0.6049643412058189	0.061494056091166635	9.83776936601714	7.740802993526118e-23	NA	NA	NA	NA	1.1849723026361985e-13	UP	1.754980281851136e-15	3	3	0	1
CCT3	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.33152153257516803	0.04169834869071495	-7.950471493107078	1.8580299365663243e-15	-0.41324879422376226	-0.24979427092657383	0.0020125463437626707	2.300008479255572	0.31663542695985336	27.072389334885656	-0.3145018730184768	0.018422541811086407	-17.07157873454869	2.4157797765094393e-65	NA	NA	NA	NA	1.2488494850911928e-13	DOWN	1.8580299365663243e-15	3	0	3	1
SIAE	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.25276722553130904	0.031833363377615026	-7.940324198009595	2.016534803056305e-15	-0.3151594712582108	-0.19037497980440726	2.105908081819942e-6	1.7724673430642879	0.412205333487681	0.04240477254023456	-0.2527734416628048	0.031813772968447895	-7.945409113012127	1.935509224187806e-15	NA	NA	NA	NA	1.349253399673918e-13	DOWN	2.016534803056305e-15	3	0	3	1
RPS6KB2	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.5492359641325344	0.06947974438680984	7.9049796308232	2.67977415316642e-15	0.4130581674793381	0.6854137607857307	0.005587023104079981	2.8001033617658644	0.2465842199220955	38.66629478133215	0.5482821925405699	0.05004542562694654	10.955690468647985	6.240066111936565e-28	NA	NA	NA	NA	1.769009839413922e-13	UP	2.67977415316642e-15	3	3	0	1
PFN4	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.3606117606538501	0.04586337300889198	7.862739632864219	3.758216684244305e-15	0.27072120134689537	0.4505023199608048	0	0.32499040005562596	0.8500201702887817	0	0.3606117606538501	0.04586337300889198	7.862739632864219	3.758216684244305e-15	NA	NA	NA	NA	2.448138771362138e-13	UP	3.758216684244305e-15	3	3	0	1
CDK5R1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.34043350152904095	0.04362056327625248	7.804426994054356	5.9772495267211035e-15	0.2549387685222356	0.4259282345358463	0	0.7109783358340847	0.7008305355324272	0	0.34043350152904095	0.04362056327625248	7.804426994054356	5.9772495267211035e-15	NA	NA	NA	NA	3.8765609101589893e-13	UP	5.9772495267211035e-15	3	3	0	1
ARHGEF26	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.33958722254685986	0.04376135662895153	-7.7599793220806275	8.49432338106468e-15	-0.425357905454218	-0.25381653963950174	7.786174697469907e-4	1.6209235555700618	0.4446526880736505	10.889915620567251	-0.3359628837240198	0.038944921147871944	-8.62661609837096	6.319384964845143e-18	NA	NA	NA	NA	5.48495894479491e-13	DOWN	8.49432338106468e-15	3	0	3	1
ZNF548	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.4525390358415514	0.05868148950932901	-7.711785089736144	1.240699355318641e-14	-0.5675526418390013	-0.33752542984410155	0.002538126516525634	2.1004223183612707	0.34986386434377764	15.669083231165102	-0.4700913364736823	0.04208859115101199	-11.169091756647674	5.776853873719157e-29	NA	NA	NA	NA	7.976617985694237e-13	DOWN	1.240699355318641e-14	3	0	3	1
