gene_symbol	log2FC_A2780	SE_A2780	pval_A2780	padj_A2780	log2FC_PEO1	SE_PEO1	pval_PEO1	padj_PEO1	log2FC_UWB_BRCAdef	SE_UWB_BRCAdef	pval_UWB_BRCAdef	padj_UWB_BRCAdef
RBBP6	0.21911719927807383	0.06844446134747614	0.00567074416814489	0.00793742213697336	-0.05583097238958023	0.07782308777872238	0.4985539097382139	0.6372118152971471	-0.2096262812215469	0.0934223294370964	0.02279436675699919	0.04722443271103748
RBBP7	0.3547762374000367	0.014192181817859553	4.5508150804417954e-14	2.340684537876214e-13	0.1058867066932292	0.08019676333462952	0.23214329600309583	0.3692547526334721	-0.18831656149502063	0.09186988420133506	0.03758548683133193	0.07322479958725508
RBBP8	-1.0086559505133632	0.09823875399635476	2.2818174661596407e-8	5.2175433769579326e-8	-0.1778917956987529	0.12570659908180287	0.2039675371991092	0.33666143023655754	-0.7364052410082738	0.13492587879675172	1.9748118227852045e-8	1.5493611353500765e-7
RBBP8NL	1.0513060097585416	0.08114446470304079	8.54093002410556e-10	2.307136540886086e-9	-0.3000310872108084	0.09193264885564348	0.01574399544409884	0.0528492796708273	2.500779745511284	1.5638357968716698	0.00380822001951782	0.00988612790340033
RBBP9	0.17700741446907298	0.05194349801322769	0.00368448007685974	0.00523235913353937	-0.05895394615022731	0.09713419695294997	0.5648711883271845	0.6948039315060582	-0.803194144328473	0.13042091574896328	2.664811891519188e-10	2.847074110993742e-9
RBCK1	0.251117036720121	0.07752404240684237	0.00524032489927256	0.00735655382135486	0.4076416814277852	0.07460784279718231	0.00128498095934866	0.01021621443239345	-0.5322581969641561	0.1514105857267413	2.6324100984501504e-4	9.019807981817372e-4
RBFA	-4.629824173376651e-4	0.05072293363857615	0.9928322504615232	0.9939442800024696	-0.5945297030326877	0.2340551160915511	0.04182140069730435	0.10630471094511344	0.7383487867504663	0.142235680507054	8.62058690422095e-8	6.034410832954666e-7
RBFOX2	-0.9889524231088612	0.026714507358956877	1.0570495841432781e-16	9.423177748082724e-16	0.2701853096142326	0.06627186403292777	0.00573845191155948	0.0266669235890117	-0.1332926614136461	0.09205469214589744	0.14261856019090713	0.22681894522130772
RBFOX3	0.2696432972384141	0.06624948910022838	9.2269559178316e-4	0.00137729043322095	0.03136199438038144	0.06566748425637481	0.6488787099185532	0.7615916139277593	NA	NA	NA	NA
RBIS	NA	NA	NA	NA	NA	NA	NA	NA	0.06561871910674495	0.11233005805243236	0.552505110024762	0.6613111261121918
RBKS	0.9662717203513314	0.0734708092052775	6.876679213525606e-10	1.8835332197643022e-09	-0.3004462263505985	0.0690714283526068	0.0041831516180286	0.02179296469252794	0.26985215897749104	0.21768869064425572	0.18059719381634184	0.2737248874932263
RBL1	1.0881703724559104	0.06474040907361744	1.86342588533823e-11	6.289374300581031e-11	-0.12961115057753636	0.05789234427380635	0.06385968608848192	0.1442058337851064	-0.03354719513618636	0.12329172094988478	0.784577700233835	0.8499003504782329
RBL2	1.7950072947400135	0.05935556166721915	2.4254568932129957e-15	1.6220587759690553e-14	-0.39721460966233346	0.06925723975410253	9.878161332491648e-4	0.00867593099149604	0.3506125632737354	0.09717349689378466	2.5029275177682964e-4	8.61385697187981e-4
RBM10	0.2560313350870125	0.05061002093142407	1.2307178349410238e-4	1.9830417429929253e-4	0.1803678109056257	0.06288034088104222	0.02662678165073567	0.07692811084116377	0.631838818948494	0.1766602605371771	1.7065719274366538e-4	6.108224058595588e-4
RBM11	1.9691585233835585	0.11690258274412518	1.804508741135938e-11	6.104533693407519e-11	0.10711273052782448	0.0639667184835091	0.14212968979487947	0.2600531956637995	-0.6012957010566313	0.45723776498201274	0.07097487061849247	0.12609519579121956
RBM12	0.7931461668027735	0.0322755030534455	5.914540044940626e-14	2.994098004959613e-13	-0.08762205375733867	0.07477342351416727	0.2831857600354928	0.4258910740420974	0.07080014587039686	0.09435416022871485	0.4476149632212839	0.56717563674117355
RBM12B	0.4285335477568313	0.04271986324478154	3.141332380840564e-8	7.085065950241527e-8	-0.2555895975590212	0.1044904007654424	0.04769442469725371	0.11635665595120764	-0.1170865127272938	0.1158796232943779	0.30129806567637246	0.4148774178934818
