gene_symbol	k_eff	n_pos	n_neg	concordance
PABPC1L	3	1	2	0.6666666666666666
PABPC3	3	0	3	1
PABPC4	3	2	1	0.6666666666666666
PABPC4-AS1	1	0	1	1
PABPC4L	3	1	2	0.6666666666666666
PABPC5	2	1	1	0.5
PABPN1	3	0	3	1
PABPN1L	2	1	1	0.5
PACC1	1	0	1	1
PACRG	1	1	0	1
PACRGL	3	2	1	0.6666666666666666
PACS1	3	3	0	1
PACS2	3	1	2	0.6666666666666666
PACSIN1	3	1	2	0.6666666666666666
PACSIN2	3	1	2	0.6666666666666666
PACSIN3	3	3	0	1
PADI1	3	2	1	0.6666666666666666
PADI2	3	1	2	0.6666666666666666
PADI3	2	1	1	0.5
PADI4	1	1	0	1
PADI6	1	0	1	1
PAEP	1	1	0	1
PAF1	3	0	3	1
PAFAH1B1	3	1	2	0.6666666666666666
PAFAH1B2	3	0	3	1
PAFAH1B3	3	1	2	0.6666666666666666
PAFAH2	3	2	1	0.6666666666666666
PAG1	3	1	2	0.6666666666666666
PAGE1	1	0	1	1
PAGE2B	1	1	0	1
PAGE4	1	0	1	1
PAGR1	3	2	1	0.6666666666666666
PAH	1	0	1	1
PAICS	3	1	2	0.6666666666666666
PAIP1	3	0	3	1
PAIP2	3	2	1	0.6666666666666666
PAIP2B	3	1	2	0.6666666666666666
PAK1	3	1	2	0.6666666666666666
PAK1IP1	3	1	2	0.6666666666666666
PAK2	3	1	2	0.6666666666666666
PAK3	3	2	1	0.6666666666666666
PAK4	3	2	1	0.6666666666666666
PAK5	1	1	0	1
PAK6	2	1	1	0.5
PAK7	1	1	0	1
PALB2	3	1	2	0.6666666666666666
PALD1	3	0	3	1
PALLD	3	2	1	0.6666666666666666
PALM	3	2	1	0.6666666666666666
PALM2	2	0	2	1
PALM2-AKAP2	1	1	0	1
PALM2AKAP2	1	1	0	1
PALM3	3	1	2	0.6666666666666666
PALMD	2	0	2	1
PAM	3	1	2	0.6666666666666666
PAM16	2	1	1	0.5
PAMR1	1	1	0	1
PAN2	3	1	2	0.6666666666666666
PAN3	3	2	1	0.6666666666666666
PAN3-AS1	1	1	0	1
PANK1	3	0	3	1
PANK2	3	1	2	0.6666666666666666
PANK3	3	1	2	0.6666666666666666
PANK4	3	3	0	1
PANO1	2	0	2	1
PANTR1	1	0	1	1
PANX1	3	1	2	0.6666666666666666
PANX2	3	2	1	0.6666666666666666
PANX3	1	1	0	1
PAOX	3	1	2	0.6666666666666666
PAPD4	2	0	2	1
PAPD5	2	0	2	1
PAPD7	2	1	1	0.5
PAPL	1	1	0	1
PAPLN	3	1	2	0.6666666666666666
PAPOLA	3	1	2	0.6666666666666666
PAPOLB	1	0	1	1
PAPOLG	3	1	2	0.6666666666666666
PAPPA	3	2	1	0.6666666666666666
PAPPA-AS1	1	1	0	1
PAPPA2	3	1	2	0.6666666666666666
PAPSS1	3	3	0	1
PAPSS2	3	1	2	0.6666666666666666
PAQR3	3	1	2	0.6666666666666666
PAQR4	3	2	1	0.6666666666666666
PAQR5	3	1	2	0.6666666666666666
PAQR6	3	1	2	0.6666666666666666
PAQR7	3	2	1	0.6666666666666666
PAQR8	3	3	0	1
PAQR9	2	0	2	1
PARD3	3	1	2	0.6666666666666666
PARD3B	3	1	2	0.6666666666666666
PARD6A	3	1	2	0.6666666666666666
PARD6B	3	0	3	1
PARD6G	3	1	2	0.6666666666666666
PARG	2	2	0	1
PARGP1-AGAP4	1	0	1	1
PARK2	1	1	0	1
PARK7	3	2	1	0.6666666666666666
PARL	3	0	3	1
PARM1	3	1	2	0.6666666666666666
PARN	3	2	1	0.6666666666666666
PARP1	3	2	1	0.6666666666666666
PARP10	3	2	1	0.6666666666666666
PARP11	3	1	2	0.6666666666666666
PARP12	3	2	1	0.6666666666666666
PARP14	3	1	2	0.6666666666666666
PARP15	1	1	0	1
PARP16	3	2	1	0.6666666666666666
PARP2	3	1	2	0.6666666666666666
PARP3	3	2	1	0.6666666666666666
PARP4	3	2	1	0.6666666666666666
PARP6	3	2	1	0.6666666666666666
PARP8	3	1	2	0.6666666666666666
PARP9	3	1	2	0.6666666666666666
PARPBP	3	1	2	0.6666666666666666
PARS2	3	2	1	0.6666666666666666
PARTICL	1	0	1	1
PARVA	3	2	1	0.6666666666666666
PARVB	3	1	2	0.6666666666666666
PARVG	2	1	1	0.5
PASD1	1	0	1	1
PASK	3	2	1	0.6666666666666666
PATE2	3	2	1	0.6666666666666666
PATJ	2	0	2	1
PATL1	3	2	1	0.6666666666666666
PATL2	3	1	2	0.6666666666666666
PATZ1	3	1	2	0.6666666666666666
PAWR	3	1	2	0.6666666666666666
PAX1	2	0	2	1
PAX2	1	0	1	1
PAX3	1	1	0	1
PAX4	1	0	1	1
PAX5	2	1	1	0.5
PAX6	3	2	1	0.6666666666666666
PAX7	1	1	0	1
PAX8	3	3	0	1
PAX8-AS1	1	1	0	1
PAX9	3	0	3	1
PAXBP1	3	1	2	0.6666666666666666
PAXBP1-AS1	1	1	0	1
PAXIP1	3	2	1	0.6666666666666666
PAXIP1-AS1	1	1	0	1
PAXIP1-AS2	2	2	0	1
PAXX	1	1	0	1
PBDC1	3	1	2	0.6666666666666666
PBK	3	0	3	1
PBLD	3	2	1	0.6666666666666666
PBOV1	1	0	1	1
PBRM1	3	2	1	0.6666666666666666
PBX1	3	1	2	0.6666666666666666
PBX2	3	1	2	0.6666666666666666
PBX3	3	1	2	0.6666666666666666
PBX4	2	2	0	1
PBXIP1	3	2	1	0.6666666666666666
PC	3	2	1	0.6666666666666666
PCAT6	1	1	0	1
PCBD1	3	0	3	1
PCBD2	3	0	3	1
PCBP1	3	1	2	0.6666666666666666
PCBP1-AS1	1	1	0	1
PCBP2	3	1	2	0.6666666666666666
PCBP3	2	1	1	0.5
PCBP4	3	2	1	0.6666666666666666
PCCA	3	2	1	0.6666666666666666
PCCA-DT	1	1	0	1
PCCB	3	2	1	0.6666666666666666
PCDH1	3	2	1	0.6666666666666666
PCDH10	2	1	1	0.5
PCDH11X	1	0	1	1
PCDH11Y	1	0	1	1
PCDH12	3	2	1	0.6666666666666666
PCDH15	1	0	1	1
PCDH17	3	2	1	0.6666666666666666
PCDH18	2	1	1	0.5
PCDH19	3	0	3	1
PCDH20	2	1	1	0.5
PCDH7	3	0	3	1
PCDH8	1	0	1	1
PCDH9	3	1	2	0.6666666666666666
PCDHA1	3	1	2	0.6666666666666666
PCDHA10	3	1	2	0.6666666666666666
PCDHA11	2	0	2	1
PCDHA12	3	1	2	0.6666666666666666
PCDHA13	2	0	2	1
PCDHA2	3	1	2	0.6666666666666666
PCDHA3	3	1	2	0.6666666666666666
PCDHA4	3	1	2	0.6666666666666666
PCDHA5	3	1	2	0.6666666666666666
PCDHA6	3	1	2	0.6666666666666666
PCDHA7	3	1	2	0.6666666666666666
PCDHA8	3	0	3	1
PCDHA9	3	1	2	0.6666666666666666
PCDHAC1	3	1	2	0.6666666666666666
PCDHAC2	3	0	3	1
PCDHB10	3	1	2	0.6666666666666666
PCDHB11	3	1	2	0.6666666666666666
PCDHB12	2	0	2	1
PCDHB13	3	1	2	0.6666666666666666
PCDHB14	3	1	2	0.6666666666666666
PCDHB15	1	1	0	1
PCDHB16	3	0	3	1
PCDHB17	1	0	1	1
PCDHB17P	1	0	1	1
PCDHB2	3	1	2	0.6666666666666666
PCDHB3	3	1	2	0.6666666666666666
PCDHB4	2	0	2	1
PCDHB5	3	1	2	0.6666666666666666
PCDHB6	3	1	2	0.6666666666666666
PCDHB7	2	1	1	0.5
PCDHB8	3	0	3	1
PCDHB9	1	1	0	1
PCDHGA1	3	1	2	0.6666666666666666
PCDHGA10	2	1	1	0.5
PCDHGA11	2	1	1	0.5
PCDHGA12	2	0	2	1
PCDHGA2	2	0	2	1
PCDHGA3	2	0	2	1
PCDHGA4	3	2	1	0.6666666666666666
PCDHGA5	3	2	1	0.6666666666666666
PCDHGA6	3	2	1	0.6666666666666666
PCDHGA7	2	1	1	0.5
PCDHGA8	3	1	2	0.6666666666666666
PCDHGA9	3	2	1	0.6666666666666666
PCDHGB1	3	2	1	0.6666666666666666
PCDHGB2	3	2	1	0.6666666666666666
PCDHGB3	3	1	2	0.6666666666666666
PCDHGB4	3	2	1	0.6666666666666666
PCDHGB5	2	2	0	1
PCDHGB6	3	1	2	0.6666666666666666
PCDHGB7	2	1	1	0.5
PCDHGC3	3	1	2	0.6666666666666666
PCDHGC4	2	0	2	1
PCDHGC5	3	0	3	1
PCDP1	1	0	1	1
PCED1A	3	2	1	0.6666666666666666
PCED1B	3	1	2	0.6666666666666666
PCF11	3	0	3	1
PCGF1	3	0	3	1
PCGF2	3	1	2	0.6666666666666666
PCGF3	3	2	1	0.6666666666666666
PCGF5	3	2	1	0.6666666666666666
PCGF6	3	2	1	0.6666666666666666
PCID2	3	1	2	0.6666666666666666
PCIF1	3	2	1	0.6666666666666666
PCK1	1	1	0	1
PCK2	3	1	2	0.6666666666666666
PCLAF	2	1	1	0.5
PCLO	3	1	2	0.6666666666666666
PCM1	3	1	2	0.6666666666666666
PCMT1	3	1	2	0.6666666666666666
PCMTD1	3	2	1	0.6666666666666666
PCMTD2	3	1	2	0.6666666666666666
PCNA	3	1	2	0.6666666666666666
PCNP	3	2	1	0.6666666666666666
PCNT	3	2	1	0.6666666666666666
PCNX	1	1	0	1
PCNX1	2	0	2	1
PCNX2	2	2	0	1
PCNX3	2	2	0	1
PCNX4	2	1	1	0.5
PCNXL2	1	1	0	1
PCNXL3	1	1	0	1
PCNXL4	1	1	0	1
PCOLCE	3	2	1	0.6666666666666666
PCOLCE-AS1	1	0	1	1
PCOLCE2	3	0	3	1
PCOTH	1	1	0	1
PCP2	3	1	2	0.6666666666666666
PCP4	1	0	1	1
PCP4L1	1	0	1	1
PCSK1	1	1	0	1
PCSK1N	3	1	2	0.6666666666666666
PCSK2	1	1	0	1
PCSK4	3	2	1	0.6666666666666666
PCSK5	3	1	2	0.6666666666666666
PCSK6	3	1	2	0.6666666666666666
PCSK7	3	1	2	0.6666666666666666
PCSK9	2	1	1	0.5
PCTP	3	3	0	1
PCYOX1	3	2	1	0.6666666666666666
PCYOX1L	3	3	0	1
PCYT1A	3	1	2	0.6666666666666666
PCYT1B	3	1	2	0.6666666666666666
PCYT2	3	2	1	0.6666666666666666
PDAP1	3	2	1	0.6666666666666666
PDC	1	0	1	1
PDCD1	1	0	1	1
PDCD10	3	1	2	0.6666666666666666
PDCD11	3	3	0	1
PDCD1LG2	3	2	1	0.6666666666666666
PDCD2	3	1	2	0.6666666666666666
PDCD2L	3	0	3	1
PDCD4	3	1	2	0.6666666666666666
PDCD4-AS1	1	1	0	1
PDCD5	3	1	2	0.6666666666666666
PDCD6	3	2	1	0.6666666666666666
PDCD6IP	3	0	3	1
PDCD6IPP2	1	1	0	1
PDCD7	3	3	0	1
PDCL	3	1	2	0.6666666666666666
PDCL2	1	0	1	1
PDCL3	3	3	0	1
PDCL3P4	1	1	0	1
PDDC1	2	1	1	0.5
PDE10A	3	2	1	0.6666666666666666
PDE11A	2	1	1	0.5
PDE12	3	2	1	0.6666666666666666
PDE1A	2	0	2	1
PDE1B	1	1	0	1
PDE1C	3	1	2	0.6666666666666666
PDE2A	3	2	1	0.6666666666666666
PDE3A	1	0	1	1
PDE3B	3	2	1	0.6666666666666666
PDE4A	3	1	2	0.6666666666666666
PDE4B	2	0	2	1
PDE4C	3	0	3	1
PDE4D	3	0	3	1
PDE4DIP	3	2	1	0.6666666666666666
PDE5A	3	1	2	0.6666666666666666
PDE6A	3	2	1	0.6666666666666666
PDE6B	3	0	3	1
PDE6C	1	0	1	1
PDE6D	3	2	1	0.6666666666666666
PDE6G	2	1	1	0.5
PDE7A	3	2	1	0.6666666666666666
PDE7B	2	0	2	1
PDE8A	3	0	3	1
PDE8B	3	1	2	0.6666666666666666
PDE9A	2	1	1	0.5
PDF	3	2	1	0.6666666666666666
PDGFA	3	0	3	1
PDGFB	3	2	1	0.6666666666666666
PDGFC	3	1	2	0.6666666666666666
PDGFD	3	1	2	0.6666666666666666
PDGFRA	1	0	1	1
PDGFRB	2	0	2	1
PDGFRL	3	0	3	1
PDHA1	3	1	2	0.6666666666666666
PDHB	3	1	2	0.6666666666666666
PDHX	3	1	2	0.6666666666666666
PDIA2	1	0	1	1
PDIA3	3	0	3	1
PDIA3P1	1	1	0	1
PDIA4	3	0	3	1
PDIA5	3	1	2	0.6666666666666666
PDIA6	3	0	3	1
PDIK1L	3	0	3	1
PDK1	3	0	3	1
PDK2	3	3	0	1
PDK3	3	2	1	0.6666666666666666
PDK4	3	0	3	1
PDLIM1	3	2	1	0.6666666666666666
PDLIM2	3	2	1	0.6666666666666666
PDLIM3	3	2	1	0.6666666666666666
PDLIM4	3	2	1	0.6666666666666666
PDLIM5	3	1	2	0.6666666666666666
PDLIM7	3	1	2	0.6666666666666666
PDP1	3	2	1	0.6666666666666666
PDP2	3	1	2	0.6666666666666666
PDPK1	3	2	1	0.6666666666666666
PDPN	3	2	1	0.6666666666666666
PDPR	3	3	0	1
PDRG1	3	1	2	0.6666666666666666
PDS5A	3	1	2	0.6666666666666666
PDS5B	3	0	3	1
PDSS1	3	2	1	0.6666666666666666
PDSS2	3	1	2	0.6666666666666666
PDX1	3	2	1	0.6666666666666666
PDXDC1	3	2	1	0.6666666666666666
PDXDC2P-NPIPB14P	1	0	1	1
PDXK	3	3	0	1
PDXP	3	1	2	0.6666666666666666
PDZD11	3	1	2	0.6666666666666666
PDZD2	3	2	1	0.6666666666666666
PDZD3	1	1	0	1
PDZD4	3	2	1	0.6666666666666666
PDZD7	3	2	1	0.6666666666666666
PDZD8	3	2	1	0.6666666666666666
PDZD9	1	0	1	1
PDZK1	3	1	2	0.6666666666666666
PDZK1IP1	3	1	2	0.6666666666666666
PDZRN3	3	0	3	1
PDZRN4	2	0	2	1
PEA15	3	1	2	0.6666666666666666
PEAK1	3	1	2	0.6666666666666666
PEAR1	3	2	1	0.6666666666666666
PEBP1	3	1	2	0.6666666666666666
PEBP4	2	1	1	0.5
PECAM1	2	1	1	0.5
PECR	3	1	2	0.6666666666666666
PEF1	3	3	0	1
PEG10	3	1	2	0.6666666666666666
PEG3	2	1	1	0.5
PELI1	3	1	2	0.6666666666666666
PELI2	3	2	1	0.6666666666666666
PELI3	3	3	0	1
PELO	3	1	2	0.6666666666666666
PELP1	3	3	0	1
PEMT	3	2	1	0.6666666666666666
PEPD	3	1	2	0.6666666666666666
PER1	3	2	1	0.6666666666666666
PER2	3	2	1	0.6666666666666666
PER3	3	1	2	0.6666666666666666
PERM1	1	0	1	1
PERP	3	2	1	0.6666666666666666
PES1	3	2	1	0.6666666666666666
PET100	3	2	1	0.6666666666666666
PET112	1	1	0	1
PET117	3	2	1	0.6666666666666666
PEX1	3	2	1	0.6666666666666666
PEX10	3	3	0	1
PEX11A	3	2	1	0.6666666666666666
PEX11B	3	0	3	1
PEX11G	3	1	2	0.6666666666666666
PEX12	3	3	0	1
PEX13	3	1	2	0.6666666666666666
PEX14	3	2	1	0.6666666666666666
PEX16	3	3	0	1
PEX19	3	0	3	1
PEX2	3	2	1	0.6666666666666666
PEX26	3	1	2	0.6666666666666666
PEX3	3	2	1	0.6666666666666666
PEX5	3	0	3	1
PEX5L	3	1	2	0.6666666666666666
PEX6	3	3	0	1
PEX7	3	0	3	1
PFAS	3	2	1	0.6666666666666666
PFDN1	3	2	1	0.6666666666666666
PFDN2	3	1	2	0.6666666666666666
PFDN4	3	0	3	1
PFDN5	3	2	1	0.6666666666666666
PFDN6	3	1	2	0.6666666666666666
PFKFB1	3	2	1	0.6666666666666666
PFKFB2	3	1	2	0.6666666666666666
PFKFB3	3	2	1	0.6666666666666666
PFKFB4	3	2	1	0.6666666666666666
PFKL	3	2	1	0.6666666666666666
PFKM	3	1	2	0.6666666666666666
PFKP	3	3	0	1
PFN1	3	2	1	0.6666666666666666
PFN2	3	0	3	1
PFN3	1	0	1	1
PFN4	3	3	0	1
PGA4	1	0	1	1
PGA5	1	0	1	1
PGAM1	3	2	1	0.6666666666666666
PGAM2	2	1	1	0.5
PGAM4	3	2	1	0.6666666666666666
PGAM5	3	2	1	0.6666666666666666
PGAP1	3	1	2	0.6666666666666666
PGAP2	3	2	1	0.6666666666666666
PGAP3	3	2	1	0.6666666666666666
PGAP4	1	0	1	1
PGAP6	1	1	0	1
PGBD1	3	2	1	0.6666666666666666
PGBD2	3	3	0	1
PGBD3	1	1	0	1
PGBD4	3	1	2	0.6666666666666666
PGBD5	3	2	1	0.6666666666666666
PGC	1	0	1	1
PGD	3	2	1	0.6666666666666666
PGF	3	2	1	0.6666666666666666
PGGHG	2	0	2	1
PGGT1B	3	1	2	0.6666666666666666
PGK1	3	1	2	0.6666666666666666
PGK2	1	1	0	1
PGLS	3	3	0	1
PGLYRP1	2	1	1	0.5
PGLYRP2	1	1	0	1
PGLYRP3	1	1	0	1
PGLYRP4	1	1	0	1
PGM1	3	1	2	0.6666666666666666
PGM2	3	2	1	0.6666666666666666
PGM2L1	3	2	1	0.6666666666666666
PGM3	3	1	2	0.6666666666666666
PGM5	2	1	1	0.5
PGM5P2	1	0	1	1
PGP	3	2	1	0.6666666666666666
PGPEP1	3	2	1	0.6666666666666666
PGPEP1L	1	0	1	1
PGR	1	0	1	1
PGRMC1	3	1	2	0.6666666666666666
PGRMC2	3	2	1	0.6666666666666666
PGS1	3	2	1	0.6666666666666666
PHACTR1	3	1	2	0.6666666666666666
PHACTR2	3	1	2	0.6666666666666666
PHACTR3	2	2	0	1
PHACTR4	3	2	1	0.6666666666666666
PHAX	3	2	1	0.6666666666666666
PHB	3	2	1	0.6666666666666666
PHB2	3	1	2	0.6666666666666666
PHC1	3	0	3	1
PHC2	3	2	1	0.6666666666666666
PHC3	3	0	3	1
PHETA1	1	1	0	1
PHETA2	1	0	1	1
PHEX	3	1	2	0.6666666666666666
PHF1	3	2	1	0.6666666666666666
PHF10	3	0	3	1
PHF11	2	1	1	0.5
PHF12	3	1	2	0.6666666666666666
PHF13	3	2	1	0.6666666666666666
PHF14	3	1	2	0.6666666666666666
PHF15	1	0	1	1
PHF16	1	1	0	1
PHF17	1	0	1	1
PHF19	3	2	1	0.6666666666666666
PHF2	3	1	2	0.6666666666666666
PHF20	3	2	1	0.6666666666666666
PHF20L1	3	1	2	0.6666666666666666
PHF21A	3	1	2	0.6666666666666666
PHF21B	3	1	2	0.6666666666666666
PHF23	3	2	1	0.6666666666666666
PHF24	1	0	1	1
PHF3	3	1	2	0.6666666666666666
PHF5A	3	1	2	0.6666666666666666
PHF6	3	1	2	0.6666666666666666
PHF7	3	3	0	1
PHF8	3	1	2	0.6666666666666666
PHGDH	3	2	1	0.6666666666666666
PHGR1	1	1	0	1
PHIP	3	3	0	1
PHKA1	3	1	2	0.6666666666666666
PHKA2	3	2	1	0.6666666666666666
PHKB	3	1	2	0.6666666666666666
PHKG1	3	2	1	0.6666666666666666
PHKG2	3	2	1	0.6666666666666666
PHLDA1	3	2	1	0.6666666666666666
PHLDA2	3	2	1	0.6666666666666666
PHLDA3	2	1	1	0.5
PHLDB1	3	2	1	0.6666666666666666
PHLDB2	3	2	1	0.6666666666666666
PHLDB3	3	2	1	0.6666666666666666
PHLPP1	3	1	2	0.6666666666666666
PHLPP2	3	1	2	0.6666666666666666
PHOSPHO1	2	1	1	0.5
PHOSPHO2	3	3	0	1
PHOX2A	2	2	0	1
PHOX2B	1	0	1	1
PHPT1	3	2	1	0.6666666666666666
PHRF1	3	2	1	0.6666666666666666
PHTF1	3	1	2	0.6666666666666666
PHTF2	3	2	1	0.6666666666666666
PHYH	3	0	3	1
PHYHD1	2	0	2	1
PHYHIP	2	2	0	1
PHYHIPL	3	2	1	0.6666666666666666
PHYKPL	3	1	2	0.6666666666666666
PI15	1	0	1	1
PI16	1	1	0	1
PI3	3	1	2	0.6666666666666666
PI4K2A	3	3	0	1
PI4K2B	3	1	2	0.6666666666666666
PI4KA	3	2	1	0.6666666666666666
PI4KAP1	1	1	0	1
PI4KAP2	1	1	0	1
PI4KB	3	1	2	0.6666666666666666
PIANP	3	1	2	0.6666666666666666
PIAS1	3	0	3	1
PIAS2	3	1	2	0.6666666666666666
PIAS3	3	0	3	1
PIAS4	3	2	1	0.6666666666666666
PIBF1	3	3	0	1
PICALM	3	1	2	0.6666666666666666
PICART1	1	1	0	1
PICK1	3	1	2	0.6666666666666666
PID1	3	1	2	0.6666666666666666
PIDD	1	0	1	1
PIDD1	2	2	0	1
PIEZO1	3	3	0	1
PIEZO2	2	2	0	1
PIF1	3	2	1	0.6666666666666666
PIFO	2	1	1	0.5
PIGA	3	1	2	0.6666666666666666
PIGB	3	2	1	0.6666666666666666
PIGBOS1	2	0	2	1
PIGC	3	0	3	1
PIGF	3	0	3	1
PIGG	3	1	2	0.6666666666666666
PIGH	3	1	2	0.6666666666666666
PIGK	3	0	3	1
PIGL	3	0	3	1
PIGM	3	1	2	0.6666666666666666
PIGN	3	1	2	0.6666666666666666
PIGO	3	1	2	0.6666666666666666
PIGP	3	2	1	0.6666666666666666
PIGQ	3	1	2	0.6666666666666666
PIGR	1	0	1	1
PIGS	3	2	1	0.6666666666666666
PIGT	3	0	3	1
PIGU	3	1	2	0.6666666666666666
PIGV	3	2	1	0.6666666666666666
PIGW	3	2	1	0.6666666666666666
PIGX	3	1	2	0.6666666666666666
PIGY	1	1	0	1
PIGZ	3	1	2	0.6666666666666666
PIH1D1	3	2	1	0.6666666666666666
PIH1D2	3	1	2	0.6666666666666666
PIH1D3	1	1	0	1
PIK3AP1	3	1	2	0.6666666666666666
PIK3C2A	3	0	3	1
PIK3C2B	3	0	3	1
PIK3C2G	1	1	0	1
PIK3C3	3	2	1	0.6666666666666666
PIK3CA	3	0	3	1
PIK3CB	3	2	1	0.6666666666666666
PIK3CD	3	2	1	0.6666666666666666
PIK3CD-AS2	1	1	0	1
PIK3CG	2	0	2	1
PIK3IP1	3	1	2	0.6666666666666666
PIK3R1	3	2	1	0.6666666666666666
PIK3R2	3	3	0	1
PIK3R3	3	0	3	1
PIK3R4	3	1	2	0.6666666666666666
PIK3R5	2	1	1	0.5
PIK3R6	2	2	0	1
PIKFYVE	3	1	2	0.6666666666666666
PILRA	3	0	3	1
PILRB	3	1	2	0.6666666666666666
PIM1	3	1	2	0.6666666666666666
PIM2	3	2	1	0.6666666666666666
PIM3	3	1	2	0.6666666666666666
PIMREG	1	1	0	1
PIN1	3	2	1	0.6666666666666666
PIN4	3	2	1	0.6666666666666666
PIN4P1	1	1	0	1
PINCR	1	1	0	1
PINK1	3	2	1	0.6666666666666666
PINK1-AS	1	0	1	1
PINLYP	3	1	2	0.6666666666666666
PINX1	3	3	0	1
PIP4K2A	3	1	2	0.6666666666666666
PIP4K2B	3	3	0	1
PIP4K2C	3	1	2	0.6666666666666666
PIP4P1	1	0	1	1
PIP4P2	1	0	1	1
PIP5K1A	3	1	2	0.6666666666666666
PIP5K1B	3	1	2	0.6666666666666666
PIP5K1C	3	2	1	0.6666666666666666
PIP5KL1	3	2	1	0.6666666666666666
PIPOX	3	2	1	0.6666666666666666
PIPSL	1	0	1	1
PIR	3	1	2	0.6666666666666666
PIRT	1	0	1	1
PISD	3	3	0	1
PITHD1	3	2	1	0.6666666666666666
PITPNA	3	1	2	0.6666666666666666
PITPNA-AS1	1	1	0	1
PITPNB	3	2	1	0.6666666666666666
PITPNC1	3	3	0	1
PITPNM1	3	2	1	0.6666666666666666
PITPNM2	3	1	2	0.6666666666666666
PITPNM3	3	2	1	0.6666666666666666
PITRM1	3	1	2	0.6666666666666666
PITRM1-AS1	1	0	1	1
PITX1	3	3	0	1
PITX2	3	3	0	1
PITX3	1	0	1	1
PIWIL1	1	1	0	1
PIWIL2	2	1	1	0.5
PIWIL3	1	1	0	1
PIWIL4	3	2	1	0.6666666666666666
PJA1	3	2	1	0.6666666666666666
PJA2	3	1	2	0.6666666666666666
PJVK	1	1	0	1
PKD1	3	2	1	0.6666666666666666
PKD1L1	3	2	1	0.6666666666666666
PKD1L2	3	2	1	0.6666666666666666
PKD1L3	1	0	1	1
PKD1P1	1	1	0	1
PKD1P3-NPIPA1	1	1	0	1
PKD1P4-NPIPA8	1	1	0	1
PKD1P5-LOC105376752	1	1	0	1
PKD1P6-NPIPP1	1	1	0	1
PKD2	3	2	1	0.6666666666666666
PKD2L1	1	0	1	1
PKD2L2	2	2	0	1
PKDCC	2	0	2	1
PKDREJ	3	0	3	1
PKHD1	1	1	0	1
PKHD1L1	3	1	2	0.6666666666666666
PKIA	3	3	0	1
PKIB	3	0	3	1
PKIG	3	1	2	0.6666666666666666
PKLR	1	0	1	1
PKM	3	3	0	1
PKMYT1	3	3	0	1
PKN1	3	1	2	0.6666666666666666
PKN2	3	0	3	1
PKN2-AS1	1	0	1	1
PKN3	3	1	2	0.6666666666666666
PKNOX1	3	2	1	0.6666666666666666
PKNOX2	1	0	1	1
PKP1	3	1	2	0.6666666666666666
PKP2	3	1	2	0.6666666666666666
PKP3	3	2	1	0.6666666666666666
PKP4	3	1	2	0.6666666666666666
PKP4-AS1	1	0	1	1
PLA1A	1	1	0	1
PLA2G10	2	2	0	1
PLA2G12A	3	1	2	0.6666666666666666
PLA2G12B	1	0	1	1
PLA2G15	3	3	0	1
PLA2G16	2	1	1	0.5
PLA2G1B	1	1	0	1
PLA2G2A	1	0	1	1
PLA2G2C	1	1	0	1
PLA2G2E	1	1	0	1
PLA2G2F	1	1	0	1
PLA2G3	1	0	1	1
PLA2G4A	3	0	3	1
PLA2G4B	3	0	3	1
PLA2G4C	3	1	2	0.6666666666666666
PLA2G4D	1	1	0	1
PLA2G4E	1	1	0	1
PLA2G4E-AS1	1	1	0	1
PLA2G4F	1	1	0	1
PLA2G6	3	2	1	0.6666666666666666
PLA2G7	2	0	2	1
PLA2R1	3	2	1	0.6666666666666666
PLAA	3	1	2	0.6666666666666666
PLAAT1	1	0	1	1
PLAAT3	1	1	0	1
PLAAT4	1	1	0	1
PLAC1	3	2	1	0.6666666666666666
PLAC4	1	0	1	1
PLAC8	3	2	1	0.6666666666666666
PLAC8L1	3	2	1	0.6666666666666666
PLAC9	2	2	0	1
PLAG1	3	1	2	0.6666666666666666
PLAGL1	3	1	2	0.6666666666666666
PLAGL2	3	2	1	0.6666666666666666
PLAT	3	2	1	0.6666666666666666
PLAU	3	3	0	1
PLAUR	3	0	3	1
PLB1	3	3	0	1
PLBD1	3	1	2	0.6666666666666666
PLBD2	3	0	3	1
PLCB1	3	2	1	0.6666666666666666
PLCB2	2	2	0	1
PLCB3	3	2	1	0.6666666666666666
PLCB4	3	1	2	0.6666666666666666
PLCD1	3	2	1	0.6666666666666666
PLCD3	3	2	1	0.6666666666666666
PLCD4	2	1	1	0.5
PLCE1	3	2	1	0.6666666666666666
PLCG1	3	3	0	1
PLCG1-AS1	1	1	0	1
PLCG2	3	0	3	1
PLCH1	3	0	3	1
PLCH2	3	3	0	1
PLCL1	3	2	1	0.6666666666666666
PLCL2	3	1	2	0.6666666666666666
PLCXD1	3	2	1	0.6666666666666666
PLCXD2	3	2	1	0.6666666666666666
PLCXD3	2	0	2	1
PLCZ1	1	1	0	1
PLD1	3	1	2	0.6666666666666666
PLD2	3	3	0	1
PLD3	3	2	1	0.6666666666666666
PLD4	1	0	1	1
PLD5	2	1	1	0.5
PLD6	3	2	1	0.6666666666666666
PLEC	3	2	1	0.6666666666666666
PLEK	2	0	2	1
PLEK2	3	3	0	1
PLEKHA1	3	2	1	0.6666666666666666
PLEKHA2	3	2	1	0.6666666666666666
PLEKHA3	3	2	1	0.6666666666666666
PLEKHA4	3	2	1	0.6666666666666666
PLEKHA5	3	1	2	0.6666666666666666
PLEKHA6	3	1	2	0.6666666666666666
