gene_symbol	k_eff	n_pos	n_neg	concordance
ADCY7	3	2	1	0.6666666666666666
ADCY9	3	2	1	0.6666666666666666
ADCYAP1	2	1	1	0.5
ADCYAP1R1	1	0	1	1
ADD1	3	2	1	0.6666666666666666
ADD2	3	1	2	0.6666666666666666
ADD3	3	1	2	0.6666666666666666
ADGB	2	1	1	0.5
ADGRA1	1	0	1	1
ADGRA2	1	0	1	1
ADGRA3	2	2	0	1
ADGRB1	2	1	1	0.5
ADGRB2	2	1	1	0.5
ADGRB3	1	0	1	1
ADGRD1	1	0	1	1
ADGRE1	1	1	0	1
ADGRE2	2	2	0	1
ADGRE3	1	0	1	1
ADGRE5	2	1	1	0.5
ADGRF1	2	1	1	0.5
ADGRF2	2	2	0	1
ADGRF3	2	2	0	1
ADGRF4	2	1	1	0.5
ADGRF5	2	0	2	1
ADGRG1	2	2	0	1
ADGRG2	2	2	0	1
ADGRG3	1	1	0	1
ADGRG4	2	1	1	0.5
ADGRG5	1	1	0	1
ADGRG6	2	0	2	1
ADGRG7	1	1	0	1
ADGRL1	2	1	1	0.5
ADGRL2	2	1	1	0.5
ADGRL3	2	2	0	1
ADGRL4	1	0	1	1
ADGRV1	2	1	1	0.5
ADH1A	1	0	1	1
ADH1C	1	1	0	1
ADH4	1	0	1	1
ADH5	3	1	2	0.6666666666666666
ADH6	3	1	2	0.6666666666666666
ADH7	1	1	0	1
ADHFE1	3	2	1	0.6666666666666666
ADI1	3	1	2	0.6666666666666666
ADIG	1	1	0	1
ADIPOQ	2	0	2	1
ADIPOR1	3	1	2	0.6666666666666666
ADIPOR2	3	1	2	0.6666666666666666
ADIRF	3	2	1	0.6666666666666666
ADK	3	2	1	0.6666666666666666
ADM	3	2	1	0.6666666666666666
ADM2	3	2	1	0.6666666666666666
ADM5	3	2	1	0.6666666666666666
ADNP	3	1	2	0.6666666666666666
ADNP-AS1	1	1	0	1
ADNP2	3	0	3	1
ADO	3	1	2	0.6666666666666666
ADORA1	3	0	3	1
ADORA2A	2	2	0	1
ADORA2B	3	2	1	0.6666666666666666
ADORA3	1	1	0	1
ADPGK	3	0	3	1
ADPRH	3	3	0	1
ADPRHL1	3	2	1	0.6666666666666666
ADPRHL2	3	3	0	1
ADPRM	3	2	1	0.6666666666666666
ADRA1A	1	0	1	1
ADRA1B	3	2	1	0.6666666666666666
ADRA1D	2	2	0	1
ADRA2A	2	0	2	1
ADRA2B	2	0	2	1
ADRA2C	1	0	1	1
ADRB1	3	2	1	0.6666666666666666
ADRB2	3	3	0	1
ADRBK1	1	0	1	1
ADRBK2	1	0	1	1
ADRM1	3	2	1	0.6666666666666666
ADSL	3	2	1	0.6666666666666666
ADSS	2	1	1	0.5
ADSS1	1	0	1	1
ADSS2	1	0	1	1
ADSSL1	2	1	1	0.5
ADTRP	3	2	1	0.6666666666666666
AEBP1	3	1	2	0.6666666666666666
AEBP2	3	1	2	0.6666666666666666
AEN	3	2	1	0.6666666666666666
AES	2	0	2	1
AF196779.12	1	1	0	1
AFAP1	3	2	1	0.6666666666666666
AFAP1-AS1	1	1	0	1
AFAP1L1	3	3	0	1
AFAP1L2	3	2	1	0.6666666666666666
