gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
LMO4	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5793797587975417	0.1798982189578687	-3.2205975253886736	0.001279236594621	-0.9319737888378652	-0.22678572875721825	0.11784864931338283	24.239835483575703	2.2259306940832443e-5	94.02921889535746	-0.7350320353368621	0.02980821534044586	-24.658706566022403	2.968148682128957e-134	NA	NA	NA	NA	0.023457536600742134	DOWN	0.001279236594621	4	0	4	1
PDE3A	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.0428282108588611	0.0133078526556398	-3.2182660844768747	0.00128968116191975	-0.06891112277548084	-0.01674529894224137	0	0.19921991345400936	0.9051904126211254	0	-0.0428282108588611	0.0133078526556398	-3.2182660844768747	0.00128968116191975	NA	NA	NA	NA	0.02360009720419816	DOWN	0.00128968116191975	3	1	2	0.6666666666666666
SEMA5B	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.05800534497963076	0.01805190946245749	-3.2132525980292725	0.0013124081065697	-0.09338643737822526	-0.02262425258103625	0	0.4583960264514671	0.7951710635277403	0	-0.05800534497963076	0.01805190946245749	-3.2132525980292725	0.0013124081065697	NA	NA	NA	NA	0.023991145915028527	DOWN	0.0013124081065697	3	1	2	0.6666666666666666
TYMP	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.34189823655151413	0.10647236031641426	-3.211145460995341	0.00132206995054564	-0.5505802281206578	-0.13321624498237053	0.00883757316439512	3.011434494331131	0.38986555980983634	17.65802377659061	-0.34525936861607687	0.08595187748354013	-4.016891529591013	5.897085071333991e-5	NA	NA	NA	NA	0.02414280011962322	DOWN	0.00132206995054564	4	1	3	0.75
NEK3	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.116853807403218	0.3479372109970294	-3.2099291829201717	0.00132767677769963	-1.7987982098387092	-0.4349094049677268	0.461015073902257	192.3564650038318	1.8904195995779365e-41	97.63726972016502	-1.0147299708038398	0.04559947401509622	-22.253106921099615	1.0524376434209861e-109	NA	NA	NA	NA	0.024195198349893157	DOWN	0.00132767677769963	4	0	4	1
YY1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.35550793686334803	0.1109234275473094	-3.2049851390656143	0.00135069454148488	-0.5729138598978125	-0.13810201382888354	0.04013866259060232	38.43740773106985	2.283640008723461e-8	88.61465220638844	-0.19214070507526848	0.02235805083216845	-8.593803928507896	8.413654494794216e-18	NA	NA	NA	NA	0.024564019968959083	DOWN	0.00135069454148488	4	0	4	1
BEST1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.5796749459351824	0.493293328337176	-3.2023034879876637	0.00136333282948925	-2.546512103289939	-0.6128377885804259	0.8804795323488172	372.00980599793377	2.5555067497546716e-80	98.6944501604616	-1.919937044579084	0.04452903635886889	-43.11651905300413	0	NA	NA	NA	NA	0.02469224838819823	DOWN	0.00136333282948925	4	0	4	1
FAM241A	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.572316240413728	0.1789245670397516	-3.1986453838201925	0.0013807489422547	-0.9230019477610636	-0.2216305330663925	0.00883684029051926	1.159439194937972	0.2815818768239746	13.751406338001331	-0.5705940188158446	0.16606317335821472	-3.436005751769038	5.903584387904932e-4	NA	NA	NA	NA	0.024956542998196662	DOWN	0.0013807489422547	2	0	2	1
TLK1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.35632543944696005	0.11144986418102164	-3.1971814597117945	0.00138777594455346	-0.5747631593236431	-0.13788771957027704	0.04131761882386071	21.73922073576176	7.390986703966207e-5	84.3149287943331	-0.4229375104123109	0.04170800001709987	-10.14044092833295	3.6544630662311235e-24	NA	NA	NA	NA	0.02505793194266753	DOWN	0.00138777594455346	4	0	4	1
GATSL2	2	A2780,PEO1	FALSE	-0.13397360650011972	0.04191374818161263	-3.1964119725015028	0.00139148278019216	-0.21612304339316168	-0.05182416960707778	0.00150039525179644	1.1317906391348989	0.2873937144193331	11.644436221494033	-0.1429950383117444	0.01972366180007804	-7.249923455449769	4.170072304915427e-13	NA	NA	NA	NA	0.025099225617813074	DOWN	0.00139148278019216	2	1	1	0.5
