gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
SOCS6	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5585218187064411	0.1260260229489009	-4.431797541789461	9.345074395207028e-6	-0.8055282848011052	-0.3115153526117771	0.05315609037590481	22.81772249103239	4.407437371678597e-5	86.6107192743196	-0.6856199150222176	0.0413656308874997	-16.574627300786688	1.0632004405857129e-61	NA	NA	NA	NA	3.245439687309914e-4	DOWN	9.345074395207028e-6	4	0	4	1
UBE2Z	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.28507769992878557	0.06433353593923254	4.431245628999176	9.369029044432552e-6	0.1589862864897766	0.4111691133677945	0.01304492315978245	17.487321198191236	5.610045057013821e-4	81.25310791125769	0.3338589631356436	0.02327913218138175	14.341555369605151	1.2032812873740198e-46	NA	NA	NA	NA	3.2473789493810633e-4	UP	9.369029044432552e-6	4	4	0	1
SELENOI	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6311533783078385	0.14251937373142257	-4.428544427210616	9.48711781897237e-6	-0.9104862179206306	-0.3518205386950464	0.05472276085463449	24.56395063735396	4.63453207527019e-6	90.6595320822714	-0.7467627562312945	0.03720787613445591	-20.070018335170808	1.3495476957954715e-89	NA	NA	NA	NA	3.2818743969858036e-4	DOWN	9.48711781897237e-6	3	0	3	1
GNAQ	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7297877515485717	0.16651939455142378	-4.382599117144891	1.1727178361007151e-5	-1.0561597675967775	-0.4034157355003658	0.09647371705827414	13.18942127669328	0.00424437340074714	91.30599070242212	-0.6153405523932689	0.0454707912169526	-13.53265548992372	1.003327078870971e-41	NA	NA	NA	NA	4.009696941731594e-4	DOWN	1.1727178361007151e-5	4	0	4	1
RNASET2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.0426539330999796	0.2383831772860832	-4.373857018646465	1.2207034724693729e-5	-1.5098763751009292	-0.5754314910990299	0.2021100446982071	33.05021591382695	3.143070658762265e-7	90.78909595655334	-1.2304295990160852	0.06818616743963318	-18.045149701446608	8.613078997107236e-73	NA	NA	NA	NA	4.1657095140619895e-4	DOWN	1.2207034724693729e-5	4	0	4	1
SNN	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.1618832328381683	0.26597179356311595	4.368445304943397	1.2513414635229727e-5	0.640588096550939	1.6831783691253976	0.2634961057973287	59.61776373436418	7.094219603772149e-13	94.50441502414488	1.321061030258216	0.05210993281535518	25.351424553534255	8.667180531626836e-142	NA	NA	NA	NA	4.2620352698835427e-4	UP	1.2513414635229727e-5	4	4	0	1
ZNF419	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.45132553274576065	0.10374212732365808	-4.350455734705541	1.3585487933074844e-5	-0.6546563659796991	-0.24799469951182215	0.03349026064970382	16.282701764796865	9.922502936810969e-4	80.05476872676137	-0.4790029063502866	0.0437175902775948	-10.956754553687622	6.167150241097265e-28	NA	NA	NA	NA	4.591791017073881e-4	DOWN	1.3585487933074844e-5	4	0	4	1
C16orf87	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5556270689454366	0.12812506325802575	-4.336599372649536	1.4470402234144128e-5	-0.8067475784480831	-0.30450655944279	0.05169827893076652	17.893767277834097	4.6260543872323737e-4	83.1468552930783	-0.4201325100739097	0.04537442071962621	-9.259236887451568	2.058984659122803e-20	NA	NA	NA	NA	4.872253338913634e-4	DOWN	1.4470402234144128e-5	4	0	4	1
PARD6B	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.8700497748009807	0.20070314208003917	-4.335008240449022	1.4575466224563066e-5	-1.2634207048618828	-0.47667884474007854	0.14433017433782544	30.99414778949965	8.524633124888511e-7	91.1227208111217	-0.988882008612251	0.05417562946217505	-18.25326292337184	1.9491216350475084e-74	NA	NA	NA	NA	4.898298791855539e-4	DOWN	1.4575466224563066e-5	4	0	4	1
MGLL	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.3123672136127391	0.30345764282104554	4.324713002488673	1.5273056921743887e-5	0.7176011628500703	1.907133264375408	0.35625106573323245	158.0899205909416	4.735039507047396e-34	97.26074809700204	1.6799116025228749	0.04396351864030562	38.21149112898204	0	NA	NA	NA	NA	5.084403525530447e-4	UP	1.5273056921743887e-5	4	4	0	1
